index_10,x,y
1,-1,9
2,1,9
3,-5,7
4,-3,7
5,-1,7
6,1,7
7,3,7
8,5,7
9,-7,5
10,-5,5
11,-3,5
12,-1,5
13,1,5
14,3,5
15,5,5
16,7,5
17,-7,3
18,-5,3
19,-3,3
20,-1,3
21,1,3
22,3,3
23,5,3
24,7,3
25,-9,1
26,-7,1
27,-5,1
28,-3,1
29,-1,1
30,1,1
31,3,1
32,5,1
33,7,1
34,9,1
35,-9,-1
36,-7,-1
37,-5,-1
38,-3,-1
39,-1,-1
40,1,-1
41,3,-1
42,5,-1
43,7,-1
44,9,-1
45,-7,-3
46,-5,-3
47,-3,-3
48,-1,-3
49,1,-3
50,3,-3
51,5,-3
52,7,-3
53,-7,-5
54,-5,-5
55,-3,-5
56,-1,-5
57,1,-5
58,3,-5
59,5,-5
60,7,-5
61,-5,-7
62,-3,-7
63,-1,-7
64,1,-7
65,3,-7
66,5,-7
67,-1,-9
68,1,-9